STATE-DISTRICT;Name;Party;Office Room;Phone;Committee Assignment
AL-01;Carl  Jerry;R;1330 LHOB;(202) 225-4931;Appropriations|Natural Resources
AL-02;Moore  Barry;R;1504 LHOB;(202) 225-2901;Agriculture|Judiciary
AL-03;Rogers  Mike;R;2469 RHOB;(202) 225-3261;Armed Services
AL-04;Aderholt  Robert;R;266 CHOB;(202) 225-4876;Appropriations
AL-05;Strong  Dale;R;1337 LHOB;(202) 225-4801;Armed Services|Homeland Security|Science  Space  and Technology
AL-06;Palmer  Gary;R;170 CHOB;(202) 225-4921;Oversight and Accountability|Energy and Commerce
AL-07;Sewell  Terri;D;1035 LHOB;(202) 225-2665;Armed Services|House Administration|Ways and Means
AK-AL;Peltola  Mary;D;153 CHOB;(202) 225-5765;Natural Resources|Transportation and Infrastructure
AZ-01;Schweikert  David;R;460 CHOB;(202) 225-2190;Ways and Means
AZ-02;Crane  Elijah;R;1229 LHOB;(202) 225-3361;Homeland Security|Small Business|Veterans' Affairs
AZ-03;Gallego  Ruben;D;1114 LHOB;(202) 225-4065;Armed Services|Natural Resources
AZ-04;Stanton  Greg;D;207 CHOB;(202) 225-9888;Foreign Affairs|Transportation and Infrastructure
AZ-05;Biggs  Andy;R;252 CHOB;(202) 225-2635;Oversight and Accountability|Judiciary
AZ-06;Ciscomani  Juan;R;1429 LHOB;(202) 225-2542;Appropriations|Veterans' Affairs
AZ-07;Grijalva  Raul;D;1203 LHOB;(202) 225-2435;Education and the Workforce|Natural Resources
AZ-08;Lesko  Debbie;R;1214 LHOB;(202) 225-4576;Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic
AZ-09;Gosar  Paul;R;2057 RHOB;(202) 225-2315;Oversight and Accountability|Natural Resources
AR-01;Crawford  Eric;R;2422 RHOB;(202) 225-4076;Agriculture|Intelligence|Transportation and Infrastructure|Science  Space  and Technology
AR-02;Hill  J.;R;1533 LHOB;(202) 225-2506;Financial Services|Foreign Affairs|Intelligence
AR-03;Womack  Steve;R;2412 RHOB;(202) 225-4301;Appropriations
AR-04;Westerman  Bruce;R;202 CHOB;(202) 225-3772;Natural Resources|Transportation and Infrastructure
CA-01;LaMalfa  Doug;R;408 CHOB;(202) 225-3076;Agriculture|Natural Resources|Transportation and Infrastructure
CA-02;Huffman  Jared;D;2445 RHOB;(202) 225-5161;Natural Resources|Transportation and Infrastructure
CA-03;Kiley  Kevin;R;1032 LHOB;(202) 225-2523;Education and the Workforce|Judiciary
CA-04;Thompson  Mike;D;268 CHOB;(202) 225-3311;Ways and Means
CA-05;McClintock  Tom;R;2256 RHOB;(202) 225-2511;Budget|Natural Resources|Judiciary
CA-06;Bera  Ami;D;172 CHOB;(202) 225-5716;Foreign Affairs|Intelligence|Select Subcommittee on the Coronavirus Pandemic
CA-07;Matsui  Doris;D;2311 RHOB;(202) 225-7163;Energy and Commerce
CA-08;Garamendi  John;D;2004 RHOB;(202) 225-1880;Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Transportation and Infrastructure
CA-09;Harder  Josh;D;209 CHOB;(202) 225-4540;Appropriations
CA-10;DeSaulnier  Mark;D;503 CHOB;(202) 225-2095;Education and the Workforce|Transportation and Infrastructure|Ethics
CA-11;Pelosi  Nancy;D;1236 LHOB;(202) 225-4965;
CA-12;Lee  Barbara;D;2470 RHOB;(202) 225-2661;Appropriations|Budget
CA-13;Duarte  John;R;1535 LHOB;(202) 225-1947;Agriculture|Natural Resources|Transportation and Infrastructure
CA-14;Swalwell  Eric;D;174 CHOB;(202) 225-5065;Homeland Security|Judiciary
CA-15;Mullin  Kevin;D;1404 LHOB;(202) 225-3531;Natural Resources|Science  Space  and Technology
CA-16;Eshoo  Anna;D;272 CHOB;(202) 225-8104;Energy and Commerce
CA-17;Khanna  Ro;D;306 CHOB;(202) 225-2631;Armed Services|Oversight and Accountability|Select Comm on the Strategic Competition US and China
CA-18;Lofgren  Zoe;D;1401 LHOB;(202) 225-3072;Judiciary|Science  Space  and Technology
CA-19;Panetta  Jimmy;D;304 CHOB;(202) 225-2861;Armed Services|Budget|Ways and Means
CA-20;McCarthy  Kevin;R;2468 RHOB;(202) 225-2915;
CA-21;Costa  Jim;D;2081 RHOB;(202) 225-3341;Agriculture|Foreign Affairs
CA-22;Valadao  David;R;2465 RHOB;(202) 225-4695;Appropriations|Budget
CA-23;Obernolte  Jay;R;1029 LHOB;(202) 225-5861;Energy and Commerce|Science  Space  and Technology
CA-24;Carbajal  Salud;D;2331 RHOB;(202) 225-3601;Agriculture|Armed Services|Transportation and Infrastructure
CA-25;Ruiz  Raul;D;2342 RHOB;(202) 225-5330;Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic
CA-26;Brownley  Julia;D;2262 RHOB;(202) 225-5811;Transportation and Infrastructure|Veterans' Affairs
CA-27;Garcia  Mike;R;144 CHOB;(202) 225-1956;Appropriations|Intelligence|Science  Space  and Technology
CA-28;Chu  Judy;D;2423 RHOB;(202) 225-5464;Small Business|Ways and Means
CA-29;Cardenas  Tony;D;2181 RHOB;(202) 225-6131;Energy and Commerce
CA-30;Schiff  Adam;D;2309 RHOB;(202) 225-4176;Judiciary
CA-31;Napolitano  Grace;D;1610 LHOB;(202) 225-5256;Natural Resources|Transportation and Infrastructure
