Zipcode,State,DisNum,PortCode
56649,MN,8,3604
55902,MN,1,3581
55802,MN,8,3510
53207,WI,4,3701
46809,IN,3,4183
46406,IN,1,3905
49783,MI,1,3803
78579,TX,34,2309
47708,IN,8,4116
33316,FL,22,5203
33316,FL,23,5203
46628,IN,2,3986
48623,MI,4,3804
48623,MI,5,3804
49512,MI,2,3806
49512,MI,3,3806
99762,AK,0,3128
48060,MI,10,3802
49037,MI,3,3805
48216,MI,14,3801
48216,MI,13,3801
48906,MI,4,3883
48906,MI,7,3883
48906,MI,8,3883
48242,MI,13,3807
78216,TX,20,5507
78216,TX,21,5507
78542,TX,15,2381
78852,TX,23,2303
79845,TX,23,2403
99780,AK,0,3104
78550,TX,34,2383
78521,TX,34,2301
99709,AK,0,3111
78406,TX,27,5312
78406,TX,27,5313
99827,AK,0,3106
76177,TX,12,5583
76177,TX,26,5583
78840,TX,23,2302
99501,AK,0,3126
99501,AK,0,3127
99501,AK,0,3107
99801,AK,0,3101
79905,TX,16,2402
79853,TX,23,2404
79111,TX,13,5502
77642,TX,14,2101
77642,TX,14,2102
33634,FL,14,1801
32504,FL,1,1819
34104,FL,25,1880
34104,FL,19,1880
33762,FL,13,1814
78040,TX,28,2304
33404,FL,18,5204
33404,FL,22,5204
33404,FL,20,5204
32773,FL,7,1809
32773,FL,5,1809
60087,IL,10,3981
60087,IL,10,3981
60087,IL,14,3981
60087,IL,14,3981
60087,IL,0,3981
60087,IL,0,3981
61874,IL,13,3987
77541,TX,14,5311
32407,FL,2,1818
79403,TX,19,5503
32095,FL,6,1889
32226,FL,4,1803
34243,FL,16,1883
33913,FL,19,1822
32114,FL,6,1884
78584,TX,28,2310
78582,TX,28,2307
4756,ME,2,109
33040,FL,26,5202
34221,FL,16,1821
32901,FL,8,1885
32920,FL,8,1816
70052,LA,2,2010
32803,FL,7,1888
32803,FL,9,1888
32803,FL,10,1888
32827,FL,9,1808
32827,FL,10,1808
6320,CT,2,413
96819,HI,1,3205
32034,FL,4,1805
77303,TX,8,5382
96850,HI,1,3201
6511,CT,3,412
75063,TX,24,5501
75001,TX,24,5584
35212,AL,7,1904
35212,AL,6,1904
99840,AK,0,3103
99901,AK,0,3102
96732,HI,2,3203
33811,FL,15,1881
99692,AK,0,3129
34788,FL,10,1887
77478,TX,22,5381
78719,TX,35,5506
40209,KY,3,4115
55437,MN,3,3501
98250,WA,2,3005
98250,WA,2,3014
98221,WA,2,3010
25311,WV,2,1409
850,VI,0,5104
97220,OR,3,2904
87106,NM,1,2407
4401,ME,2,102
4401,ME,2,112
4401,ME,2,132
4401,ME,2,121
4743,ME,2,110
4735,ME,2,127
4785,ME,2,108
28557,NC,3,1511
4750,ME,2,118
4742,ME,2,107
4730,ME,2,106
96913,GU,0,3207
61265,IL,17,3908
61265,IL,17,3908
61109,IL,16,3909
61109,IL,16,3909
61109,IL,17,3909
61109,IL,17,3909
75069,TX,3,5585
1915,MA,6,404
1915,MA,6,416
1915,MA,6,408
99835,AK,0,3115
61607,IL,17,3902
61607,IL,17,3902
61607,IL,18,3902
61607,IL,18,3902
60185,IL,6,3984
60185,IL,6,3984
60185,IL,14,3984
60185,IL,14,3984
98158,WA,9,3001
99929,AK,0,3105
46241,IN,7,4110
21202,MD,3,1303
21202,MD,7,1303
77087,TX,9,5301
77087,TX,29,5301
77032,TX,18,5309
77032,TX,29,5309
37217,TN,5,2007
60607,IL,7,3986
60607,IL,7,3987
62258,IL,12,4581
62258,IL,12,4581
60090,IL,8,3983
60090,IL,9,3983
60090,IL,10,3983
60018,IL,5,3901
60018,IL,5,3901
60018,IL,8,3901
60018,IL,8,3901
60018,IL,9,3901
60018,IL,9,3901
84112,UT,2,3303
11430,NY,5,4701
85620,AZ,2,2603
85756,AZ,3,2609
85756,AZ,2,2609
85607,AZ,2,2601
85633,AZ,3,2606
85341,AZ,3,2602
89502,NV,2,2833
89119,NV,3,2722
89119,NV,1,2722
85349,AZ,3,2608
85621,AZ,3,2604
91761,CA,35,2721
91761,CA,42,2721
33122,FL,25,5206
33122,FL,27,5206
33132,FL,23,5201
33132,FL,24,5201
95837,CA,3,2835
95837,CA,6,2835
95110,CA,17,2834
95110,CA,19,2834
91980,CA,51,2505
92173,CA,51,2504
92154,CA,51,2506
92154,CA,53,2506
92101,CA,51,2501
92101,CA,52,2501
92101,CA,53,2501
95501,CA,2,2802
94111,CA,12,2801
94111,CA,12,2809
92231,CA,51,2507
92231,CA,51,2503
93727,CA,16,2803
93727,CA,22,2803
92283,CA,51,2502
93033,CA,26,2713
92262,CA,36,2781
90802,CA,44,2704
90802,CA,47,2704
90045,CA,43,2720
90045,CA,37,2720
85212,AZ,5,2682
85260,AZ,6,2681
85034,AZ,7,2605
85034,AZ,9,2605
92408,CA,31,2782
92394,CA,8,2783
96720,HI,2,3202
96740,HI,2,3206
59714,MT,0,3386
58329,ND,0,3422
58369,ND,0,3405
97103,OR,1,2901
72756,AR,3,2084
72756,AR,4,2084
96950,MP,0,3211
96950,MP,0,3212
97459,OR,4,2903
59501,MT,0,3323
59501,MT,0,3325
73108,OK,5,5504
58737,ND,0,3406
58772,ND,0,3403
99224,WA,5,3022
740,PR,0,4904
680,PR,0,4907
716,PR,0,4908
58282,ND,0,3407
58271,ND,0,3401
58265,ND,0,3404
59427,MT,0,3322
59411,MT,0,3316
74115,OK,1,5505
97124,OR,1,2983
98844,WA,4,3019
14624,NY,25,903
14850,NY,23,983
57104,SD,0,3502
71109,LA,4,2018
6604,CT,4,410
13212,NY,24,906
96951,MP,0,3213
6096,CT,1,411
58372,ND,0,3409
58239,ND,0,3408
97365,OR,5,2902
59545,MT,0,3321
830,VI,0,5102
59601,MT,0,3348
59917,MT,0,3318
70130,LA,2,2002
2886,RI,2,501
2886,RI,2,502
7960,NJ,11,4681
98362,WA,6,3007
58102,ND,0,3411
83705,ID,2,2907
83705,ID,1,2907
96766,HI,2,3204
59263,MT,0,3309
59542,MT,0,3306
802,VI,0,5101
58711,ND,0,3413
58793,ND,0,3419
58782,ND,0,3414
58783,ND,0,3421
12207,NY,20,1002
70601,LA,3,2017
13790,NY,22,981
