PortCode,Zipcode,State,DistrictNum
1904,35212,AL,07
1904,35212,AL,06
1910,35824,AL,05
1901,36602,AL,01
3104,99780,AK,AL
3126,99501,AK,AL
3127,99501,AK,AL
3107,99501,AK,AL
3106,99827,AK,AL
3129,99692,AK,AL
3111,99709,AK,AL
3101,99801,AK,AL
3102,99901,AK,AL
3128,99762,AK,AL
3115,99835,AK,AL
3103,99840,AK,AL
3105,99929,AK,AL
2601,85607,AZ,02
2602,85341,AZ,03
2603,85620,AZ,02
2604,85621,AZ,03
2605,85034,AZ,07
2605,85034,AZ,09
2682,85212,AZ,05
2608,85349,AZ,03
2606,85633,AZ,03
2681,85260,AZ,06
2609,85756,AZ,03
2609,85756,AZ,02
2003,72202,AR,02
2084,72756,AR,03
2084,72756,AR,04
2502,92283,CA,51
2507,92231,CA,51
2503,92231,CA,51
2802,95501,CA,02
2803,93727,CA,16
2803,93727,CA,22
2720,90045,CA,43
2720,90045,CA,37
2704,90802,CA,44
2704,90802,CA,42
2709,90802,CA,44
2709,90802,CA,47
2721,91761,CA,35
2721,91761,CA,42
2506,92154,CA,51
2506,92154,CA,53
2781,92262,CA,36
2713,93033,CA,26
2835,95837,CA,03
2835,95837,CA,06
2782,92408,CA,31
2501,92101,CA,51
2501,92101,CA,52
2501,92101,CA,53
2801,94111,CA,12
2809,94111,CA,12
2834,95110,CA,17
2834,95110,CA,19
2504,92173,CA,51
2505,91980,CA,51
2783,92394,CA,08
3384,80012,CO,01
3384,80012,CO,06
3307,80249,CO,01
3385,81637,CO,03
3383,80021,CO,02
3383,80021,CO,07
3213,96951,MP,AL
3211,96950,MP,AL
3212,96950,MP,AL
0410,06604,CT,04
0411,06096,CT,01
0412,06511,CT,03
0413,06320,CT,02
1103,19720,DE,AL
1803,32226,FL,04
1801,33634,FL,14
1816,32920,FL,08
1884,32114,FL,06
1805,32034,FL,04
1822,33913,FL,19
5202,33040,FL,26
1881,33811,FL,15
1887,34788,FL,10
1885,32901,FL,08
5206,33122,FL,26
5201,33132,FL,24
1880,34104,FL,25
1880,34104,FL,19
1888,32803,FL,07
1888,32803,FL,09
1888,32803,FL,10
1808,32827,FL,09
1808,32827,FL,10
1809,32773,FL,07
1809,32773,FL,05
1818,32407,FL,02
1819,32504,FL,01
5203,33316,FL,25
5203,33316,FL,23
1821,34221,FL,16
1883,34243,FL,16
1889,32095,FL,06
1814,33762,FL,13
5204,33404,FL,18
5204,33404,FL,22
5204,33404,FL,20
1704,30354,GA,05
1701,31520,GA,01
1703,31405,GA,01
3207,96913,GU,AL
3205,96819,HI,01
3202,96720,HI,02
3201,96850,HI,01
3203,96732,HI,02
3206,96740,HI,02
3204,96766,HI,02
2907,83705,ID,02
2907,83705,ID,01
3302,83826,ID,01
3987,61874,IL,13
3901,60018,IL,05
3901,60018,IL,03
3908,61265,IL,17
3908,61265,IL,17
4581,62258,IL,12
4581,62258,IL,12
3902,61607,IL,17
3902,61607,IL,18
3902,61607,IL,17
3902,61607,IL,18
3909,61109,IL,16
3909,61109,IL,17
3909,61109,IL,16
3909,61109,IL,17
3981,60087,IL,10
3981,60087,IL,14
3981,60087,IL,AL
3981,60087,IL,10
3981,60087,IL,14
3981,60087,IL,AL
3984,60185,IL,06
3984,60185,IL,14
3984,60185,IL,06
3984,60185,IL,14
3983,60090,IL,08
3983,60090,IL,09
3983,60090,IL,10
3986,60607,IL,07
3987,60607,IL,07
4116,47708,IN,08
4183,46809,IN,03
3905,46406,IN,01
4110,46241,IN,07
3986,46628,IN,02
3513,50321,IA,03
4504,67209,KS,04
4102,41018,KY,04
4184,40510,KY,06
4115,40209,KY,03
2004,70809,LA,06
2010,70052,LA,02
2017,70601,LA,03
2001,70363,LA,01
2002,70130,LA,02
2018,71109,LA,04
0102,04401,ME,02
0112,04401,ME,02
0132,04401,ME,02
0121,04401,ME,02
0111,04106,ME,01
0101,04106,ME,01
0127,04735,ME,02
0115,04619,ME,02
0122,04619,ME,02
0103,04631,ME,02
0107,04742,ME,02
0110,04743,ME,02
